区分,名称,GoogleMAP,概要
飲食店,創作ダイニング　紅葉,紅葉 (KUREHA クレハ),隠れ家的雰囲気がGood。お子様からご年配の方まで楽しめる幅広いメニューでお待ちしております。
飲食店,手打そば　吉田家,吉田家,体に良いものをお子様に!!をモットーに!!優待します。昔ながらの手作りで自然食、健康食｡コシと甘味のある本当のそばの味を楽しめます。
飲食店,中国料理　皇閣,皇閣,営業時間・定休日については当店にお問合せください。
飲食店,ヴィオロン,ヴィオロン,生演奏毎晩ｐｍ8：00～（ポップス、映画音楽、ジャズ弾き語り）。オーガニック野菜を中心に心のこもった手作りの料理をお出ししてます。手作りケーキ、キッシュ等。(１６時～１９時は休）
飲食店,珈琲　パウエル,珈琲パウエル,珈琲の香りとジャズの流れる空間
飲食店,佐和,佐和,季節の料理を楽しめます。
飲食店,とんかつ　福芳,福芳,とんかつ、きしめんの美味しい店。出前致します。
飲食店,らーめん　さくら,らーめんさくら,１５時～１８時は休憩です
飲食店,生そば　蛇の目屋,生そば 蛇の目屋,手打ちそば、手打ちうどん、一店一逸品「天ざるそば」
飲食店,えんの蔵,Bal style えんの蔵 久喜店,刺身が全て290円
飲食店,蕎麦ニュー大欅,大けやき,"信州戸隠産のそばを使う分だけ自家製粉し、ニ八で打っております。
また、畳の小上がりのお席もご用意して御座いますので、お子様同伴でもゆっくりとお食事していただけます。"
飲食店,cafe 茶ぽっと,cafe茶ぽっと,"ＪＲ鷲宮駅より徒歩2分。百観音温泉より徒歩2分。日差しいっぱい取り込んだ明るい店内。
モーニングセット500円、ランチセット780円～、ケーキセット650円～。"
飲食店,アジアンダイニングＤＥＬＨＩ（デリ）,アジアンダイニングデリー,本場アジアのカレーがリーズナブルに味わえます。昼・夜ともナンorカレーはお替り無料！辛さもマイルド～激辛まで、家族で楽しんで
飲食店,串カツ元貴,串かつ 元貴,みそ串かつ、みそおでんが食べられる店
飲食店,菜香閣,菜香閣,本場の中華味の料理店です。皆様のご来店お待ちしております。
飲食店,福茶,福茶 アリオ鷲宮店,タピオカとふわふわミルクかき氷のお店です。皆様のご来店お待ちしております。
飲食店,cafeつむぎ,caféつむぎ,食材の産地にこだわったオシャレなカフェ
飲食店,雪みるく,雪みるく,フルーツにこだわりぬいた天然氷のかき氷
飲食店,Clarte,クラルテ,菖蒲産フルーツや野菜を使用のジャム屋
飲食店,大酉茶屋　田田,大酉茶屋 田々,古民家でおでんや田楽を味わえる
飲食店,島田菓子舗,島田菓子舗,生クリーム大福も人気。創業80年以上の和菓子屋さん
飲食店,つむぎや,つむぎや,粉屋ならではの麺や菓子が味わえる
飲食店,イタリア式食堂ブラン,イタリア式食堂ブラン,薪割りや斧投げが体験できる！本格的なイタリアン
飲食店,やさいcafe びーんず,やさいｃａｆｅびーんず,「体から元気になるものを」がコンセプト。女性に人気のcaf?
飲食店,コット ア コット,コット･ア･コット,菖蒲地区で本格的なフレンチを気軽に楽しめる
飲食店,森乃家,森乃家,自家製陶器で和食を味わう
飲食店,アソルティ,パティスリー・アソルティ,お土産で人気の久喜クッキーはこちらのお店で
飲食店,ドゥーブルシェフ,ドゥーブルシェフ 久喜店,本物志向。フランスの菓子を久喜で楽しむ
飲食店,エーデルワイス,洋菓子倶楽部 エーデルワイス,200種類を超える豊富なスイーツを堪能するならココ
飲食店,パリジェンヌ,パリジェンヌ洋菓子店,栗が丸ごと１つ！地名にちなんだ「栗橋マドレーヌ」
飲食店,trattoria La Luce,トラットリア・ラ・ルーチェ,埼玉県S級グルメ認定の本格的なイタリアン
飲食店,cafe couwa,カフェ・クウワ,レトロな世界観の店内で気軽にcaf?を楽しむ
飲食店,ケーキの店 モニカ,ケーキの店モニカ,久喜の梨を使った洋菓子は久喜ならではの味
飲食店,時ャ夢工房,茶房 時ャ夢工房,新食感！自家栽培のフルーツをとろとろのジャムに！
飲食店,志ほや,（有）志ほや製菓 支店,栗橋の宿場町にちなんだ饅頭をぜひお試しあれ
飲食店,愛宕茶屋,愛宕茶屋,郷土菓子塩あんびんが人気のお店
飲食店,三笠屋,三笠屋,静御前にちなんだ銘菓
飲食店,宝来屋,（有）宝来屋,栗が入った和スイーツが絶品
飲食店,井上酒店,（有）井上酒店,栗橋宿の姿がラベルに描かれた純米酒が人気
飲食店,パン工房HIRO,パン工房ＨＩＲＯ,出来立て手作りシフォンケーキをお土産にいかが。
観光,久喜菖蒲公園,久喜菖蒲公園,久喜菖蒲公園は、工業団地を造成するために掘ってできた池を中心に整備されたユニークな公園です。池の広さが約３１ヘクタールもあり、全体の約８０％を占めています。池の東西には広場があるほか、周りには、桜並木とサイクリング道路が整備されており、ご家族でお楽しみ頂けます。
観光,コスモスふれあいロード,ポピー畑/コスモスふれあいロード,埼玉県内でも有数のコスモス自生地の一つで、葛西用水路沿いの両岸、加須市川口の川口樋前橋から久喜市境の玉屋橋までと、その周辺の畑を含めた往復約１２キロメートルのポピーとコスモスの道です。春は「ポピー」約２５０万本・秋は「コスモス」約６８０万本がお楽しみ頂けます。見頃の時期になるとその風景は圧巻です。
観光,青毛堀桜堤,鷲宮駅 青毛堀川の河津桜,青毛堀に沿って約１ｋｍに渡り約２５０本の桜並木が続きます。菜の花も植樹されており、ピンクと黄色のコントラストが見事です。見頃は３月下旬から４月上旬で、その頃には花見客で大変賑わいます。また、青毛堀堤に沿ってサイクリングを楽しんでいる方も多く見られます。
観光,清久さくら通り,清久さくら通り,久喜市の桜の名所の一つです。久喜市の西、主要道川越・栗橋線から備前前堀川に沿って清久工業団地に至るまでの通りが清久さくら通りです。昭和５５年に完成した清久工業団地の造成にともない植えられたもので、約７００ｍのさくら並木は圧巻です。恒例のさくら祭りは４月上旬に開催されます。
観光,静御前の墓,静御前の墓,栗橋の地で亡くなった源義経の内妻、静御前の墓です。静御前は栗橋の地にあった寺に葬られましたが、墓がないのを哀れんだ幕府領を広域支配する代官である関東郡代が、１８０３年に墓碑を建立したと言われています。静御前の命日である９月１５日には「静御前墓前祭」がささやかに行われています。
観光,栗橋の静桜,南栗橋 桜並木 （大排水路）,源義経とのロマンスで知られている静御前。奥州へ逃れた義経を追って北へ向かっていた静が義経の悲報に接し、弔いのために一本の桜を野沢の地（宇都宮）に植えたのが、静桜と言われています。栗橋駅前のひめプラザの隣接に静御前の墓所があり、それを見守るかのように植えられているのが『静桜』です。全国にも数箇所にしかないという貴重な桜です。
観光,栗橋の赤花そば,赤花そば畑,ヒマラヤ山地（ネパール）原産の赤花そば。栗橋地区で栽培している赤花そばは観賞用で、見頃の１０月中は約０．６ヘクタールのそば畑が一面気品漂うルビー色に染まり、観る者の目を楽しませてくれます。朝晩の気温が冷え込んできますと、赤花そばのピンク色の深みがまします。
観光,栗橋関跡,関所番士屋敷跡,江戸時代、利根川には橋がなく奥州街道を往来する旅人は、利根川を渡し舟で渡らなければならなりませんでした。利根川を渡る者を取り締まったのが、この栗橋の関所です。「入り鉄砲と出女」と言われ、特に女性の取り調べは厳重で、重要な関所の一つでした。今現在では、石碑が建てられています。
観光,百観音温泉,百観音温泉,豊富な湯量からなる源泉かけ流し１００％の自噴温泉です。美肌効果があり、その他、皮膚湿疹、アレルギー、疲労回復などの効能があります。個室付貸切風呂や貸切風呂、露天風呂をお楽しみ頂けます。また、徳川家にゆかりがあり、消失していた「観音堂」が再建され、併設されています。
観光,菖蒲城趾あやめ園,菖蒲城趾あやめ園,関東官領の上杉氏と戦火を交えた鎌倉公方の足利成氏の家臣・金田式部則綱が、上杉氏との攻防の最前線として築城したのが菖蒲城です。現在は６月上旬から中旬にかけて約３万株の花しょうぶが咲き誇る菖蒲城趾あやめ園となっています。「あやめ・ラベンダーのブルーフェスティバル」期間中は多くの観光客が訪れます。
観光,ラベンダー堤,菖蒲総合支所 ラベンダー堤,６月中旬～下旬になるとラベンダーの爽やかな香りと薄紫のじゅうたんが広がります。ラベンダー堤は道の両脇の堤に約１８，０００株のラベンダーが５００ｍに渡って植栽されています。その他にも併せて約３４，０００株のラベンダーが植栽されており、「あやめ・ラベンダーのブルーフェスティバル」期間中は多くの観光客が訪れます。
観光,菖蒲神社の藤,菖蒲神社のフジ(県指定天然記念物),"「菖蒲神社」の境内には、樹齢３００年の「野田藤」があります。大正時代に藤の下にあった池を埋め立てたところ、樹が勢いづき、１ｍ以上の花房をつけるようになったと言われています。５月上旬には同敷地にて「藤まつり」が開催され、地元の愛好会による踊り等が披露されます。
"
観光,つむぎや,つむぎや,"埼玉県は全国有数のうどん用小麦の生産地。
業務用穀物卸が本業のつむぎやは８０年以上小麦粉にこだわっています。
直営店では卸で培った目利きで生まれた品々を揃えています。和を基調とした明るい空間にて、好評の和スイーツやちーずけーきをお選びいただけます。無料の休憩スペースや試食もご用意。
埼玉県小麦１００％の「つむぎうどん」は料理評論家の岸朝子さんの埼玉県おすすめ１０品にも選出いただいています"
観光,久喜市立総合運動公園,久喜市 総合運動公園,"総面積約１３．３ヘクタールの敷地内に、総合体育館第１体育館、第２体育館、市民グラウンド、市民ゲートボール場、多目的広場、市民プール（７月２５日から８月２３日まで）及び、テニスコートなどがあり、市民の健康づくりと憩いの場となっています。
　"
観光,久喜地内れんげ自生地,久喜れんげ祭り会場,久喜地内に広がるれんげ畑で、見頃は４月中旬～５月上旬です。例年４月下旬頃には、花と緑と大空の祭典「久喜市れんげ祭り」を開催し、手打ちそばやもち等の各種模擬店、地元伝統芸能の披露、各種アトラクションなどで多くの観光客で賑わいます。
観光,しらさぎ公園,しらさぎ公園,しらさぎ公園では、６月から７月にかけてラベンダーが見頃を迎えます。道を挟んで2つに分かれ橋で結ばれています。南側の山は通称「ラベンダー山」と呼ばれています。斜面一面が紫色に染まり、ラベンダーの清々しい香りが漂います。
観光,久喜農産物直売所「久喜キラリ直売館」,ＪＡ南彩 久喜農産物直売所,久喜農産物直売所は、消費者と生産者のふれあいの場として、「顔の見える農産物」販売に取り組み、店内には地元産の新鮮な農産物や加工品が豊富にそろえられています。毎朝、生産者が朝取りした野菜や果物、切花など多数取り扱っており、７月下旬からは、久喜特産の梨が販売され、全国発送も行っています。
