団体コード,団体名,種別,名称,概要,通称,住所_表記,施設_緯度,施設_経度,施設_電話番号,ホームページ,開始時間,終了時間,日時備考,自由記述欄
112321,久喜市,庁舎等,久喜市役所（本庁舎）,,,埼玉県久喜市下早見85-3,36.05892778,139.6701363,0480-22-1111,,,,,
112321,久喜市,庁舎等,久喜市役所（第二庁舎）,,,埼玉県久喜市北青柳1404-7,36.04946172,139.6624852,0480-22-1111,,,,,
112321,久喜市,庁舎等,菖蒲総合支所,,,埼玉県久喜市菖蒲町新堀38,36.05607739,139.6047556,0480-85-1111,,,,,
112321,久喜市,庁舎等,栗橋総合支所,,,埼玉県久喜市間鎌251-1,36.12299261,139.6992888,0480-53-1111,,,,,
112321,久喜市,庁舎等,鷲宮総合支所,,,埼玉県久喜市鷲宮6-1-1,36.09717172,139.6704164,0480-58-1111,,,,,
112321,久喜市,庁舎等,公文書館,,,埼玉県久喜市下早見85-1,36.05960919,139.6700732,0480-23-5010,,,,,
112321,久喜市,清掃センター,久喜宮代清掃センター,,,埼玉県南埼玉郡宮代町大字和戸1276-1,36.047683,139.687724,0480-34-2042,,,,,
112321,久喜市,清掃センター,菖蒲清掃センター,,,埼玉県久喜市菖蒲町台2770-1,36.06169733,139.6399618,0480-85-7027,,,,,
112321,久喜市,清掃センター,八甫清掃センター,,,埼玉県久喜市八甫2525,36.09469114,139.7024128,0480-58-1309,,,,,
112321,久喜市,清掃センター,クリーンセンターあさひ,,,埼玉県北本市朝日1-200,36.04362,139.55414,048-591-5490,,,,,
112321,久喜市,警察・消防・救急,久喜警察署,,,埼玉県久喜市上早見154,36.06445153,139.6635696,0480-24-0110,,,,,
112321,久喜市,警察・消防・救急,久喜駅東口交番　　,,,埼玉県久喜市久喜東1-1-4,36.06323361,139.6817913,0480-21-0749,,,,,
112321,久喜市,警察・消防・救急,久喜駅西口交番,,,埼玉県久喜市久喜中央1-1-16,36.06303564,139.680558,0480-22-1215,,,,,
112321,久喜市,警察・消防・救急,菖蒲交番,,,埼玉県久喜市菖蒲町新堀550-5,36.06245903,139.6036514,0480-85-1204,,,,,
112321,久喜市,警察・消防・救急,東鷲宮駅前交番,,,埼玉県久喜市桜田3-1-2,36.08555686,139.6837556,0480-58-1007,,,,,
112321,久喜市,警察・消防・救急,小林駐在所,,,埼玉県久喜市菖蒲町小林2264-8,36.05307622,139.5878711,0480-85-1209,,,,,
112321,久喜市,警察・消防・救急,幸手警察署,,,埼玉県幸手市大字上吉羽964,36.082317,139.736503,0480-42-0110,,,,,
112321,久喜市,警察・消防・救急,栗橋交番,,,埼玉県久喜市栗橋中央2-6-1,36.13661214,139.7039093,0480-52-0049,,,,,
112321,久喜市,警察・消防・救急,南栗橋交番,,,埼玉県久喜市南栗橋4-15-5,36.10963372,139.7144517,0480-52-9801,,,,,
112321,久喜市,警察・消防・救急,埼玉東部消防組合消防局,,,埼玉県久喜市上早見396,36.06547878,139.6625984,0480-21-0119,,,,,
112321,久喜市,警察・消防・救急,久喜消防署,,,埼玉県久喜市上早見396,36.06547878,139.6625984,0480-21-0190,,,,,
112321,久喜市,警察・消防・救急,久喜消防署東分署,,,埼玉県久喜市吉羽2-30-2,36.06627642,139.6929884,0480-22-1217,,,,,
112321,久喜市,警察・消防・救急,久喜消防署菖蒲分署,,,埼玉県久喜市菖蒲町新堀964-1,36.05920478,139.5989125,0480-85-1009,,,,,
112321,久喜市,警察・消防・救急,久喜消防署栗橋分署,,,埼玉県久喜市栗橋324-2,36.12334856,139.7079803,0480-52-2119,,,,,
112321,久喜市,警察・消防・救急,久喜消防署鷲宮分署,,,埼玉県久喜市西大輪2111-6,36.08983819,139.6741769,0480-58-1001,,,,,
112321,久喜市,斎場,メモリアルトネ（広域利根斎場組合）,,,埼玉県加須市川口4ｰ3-5,36.108584,139.657804,0480-65-8234,,,,,
112321,久喜市,国・県の機関（学校・図書館除く）,さいたま地方法務局久喜支局,,,埼玉県久喜市本町4-5-28,36.06529739,139.6647365,0480-21-0215,,,,,
112321,久喜市,国・県の機関（学校・図書館除く）,久喜簡易裁判所,,,埼玉県久喜市久喜東1-15-3,36.05904964,139.6826428,0480-21-0157,,,,,
112321,久喜市,国・県の機関（学校・図書館除く）,さいたま家庭裁判所久喜出張所,,,埼玉県久喜市久喜東1-15-3,36.05904964,139.6826428,0480-21-0157,,,,,
112321,久喜市,国・県の機関（学校・図書館除く）,県農業技術研究センター（久喜試験場）,,,埼玉県久喜市六万部91,36.08461192,139.6395824,0480-21-1113,,,,,
112321,久喜市,国・県の機関（学校・図書館除く）,久喜市ふるさとハローワーク,,,埼玉県久喜市下早見85-3（久喜市役所　本庁舎内）,36.05892778,139.6701363,0480-29-2768,,,,,
112321,久喜市,国・県の機関（学校・図書館除く）,国土交通省利根川上流河川事務所,,,埼玉県久喜市栗橋北2-19-1,36.14018764,139.7022763,0480-52-3952,,,,,
112321,久喜市,国・県の機関（学校・図書館除く）,古利根川水循環センター,,,埼玉県久喜市吉羽772-1,36.05517644,139.6924891,0480-22-3819,,,,,
112321,久喜市,保健・医療,中央保健センター,,,埼玉県久喜市本町5ｰ10-47,36.06785553,139.6685335,0480-21-5354,,,,,
112321,久喜市,保健・医療,菖蒲保健センター,,,埼玉県久喜市菖蒲町新堀1,36.05576806,139.6051461,0480-85-7021,,,,,
112321,久喜市,保健・医療,栗橋保健センター,,,埼玉県久喜市間鎌251-1,36.12299261,139.6992888,0480-52-5577,,,,,
112321,久喜市,保健・医療,鷲宮保健センター,,,埼玉県久喜市鷲宮6-1-2,36.09791039,139.6704556,0480-58-8521,,,,,
112321,久喜市,保健・医療,久喜市休日夜間急患診療所,,,埼玉県久喜市本町5-10-47（中央保健センター併設）,36.06785553,139.6685335,0480-21-9090,,,,,
112321,久喜市,福祉,高齢者福祉センター「いきいき温泉久喜」,,,埼玉県久喜市江面1574-1,36.05479278,139.6666726,0480-22-7933,,,,,
112321,久喜市,福祉,偕楽荘,,,埼玉県久喜市上清久930,36.07630461,139.6522155,0480-21-0307,,,,,
112321,久喜市,福祉,菖蒲老人福祉センター,,,埼玉県久喜市菖蒲町三箇2904,36.06052669,139.6292152,0480-85-1205,,,,,
112321,久喜市,福祉,彩嘉園,,,埼玉県久喜市菖蒲町三箇1235-1,36.05863047,139.6200622,0480-85-7315,,,,,
112321,久喜市,福祉,鷲宮福祉センター,,,埼玉県久喜市鷲宮6-1-5,36.09791208,139.6723332,0480-58-6666,,,,,
112321,久喜市,福祉,ふれあいセンター久喜,,,埼玉県久喜市青毛753-1,36.06908547,139.696614,0480-25-1010,,,,,
112321,久喜市,福祉,いちょうの木,,,埼玉県久喜市所久喜835-1,36.07153642,139.639627,0480-23-4711,,,,,
112321,久喜市,福祉,けやきの木,,,埼玉県久喜市青毛1146-1,36.07119111,139.6958501,0480-21-7555,,,,,
112321,久喜市,福祉,のぞみ園,,,埼玉県久喜市北青柳1331,36.04785067,139.6663926,0480-22-2381,,,,,
112321,久喜市,福祉,健康福祉センター（くりむ）,,,埼玉県久喜市間鎌255-1,36.12228547,139.6993405,0480-52-8787,,,,,
112321,久喜市,福祉,くりの木,,,埼玉県久喜市間鎌276-2,36.12116111,139.7009429,0480-55-2341,,,,,
112321,久喜市,福祉,あゆみの郷,,,埼玉県久喜市東大輪2273-1,36.09754781,139.6733258,0480-58-8956,,,,,
112321,久喜市,福祉,ゆう・あい,,,埼玉県久喜市上内327-6,36.08102,139.671091,0480-57-4353,,,,,
112321,久喜市,福祉,児童センター,,,埼玉県久喜市吉羽1-40-14,36.06232306,139.6925674,0480-21-8181,,,,,
112321,久喜市,福祉,しょうぶ会館,,,埼玉県久喜市菖蒲町菖蒲1077-1,36.06659119,139.6001948,0480-85-0370,,,,,
112321,久喜市,福祉,鷲宮児童館,,,埼玉県久喜市上内878,36.08541167,139.6630795,0480-58-7054,,,,,
112321,久喜市,福祉,久喜市ファミリー･サポート･センター,,,埼玉県久喜市青毛753-1（ふれあいセンター久喜内）,36.06908547,139.696614,0480-29-1900,,,,,
112321,久喜市,福祉,久喜市ファミリー･サポート･センター菖蒲,,,埼玉県久喜市菖蒲町新堀38（菖蒲総合支所内）,36.05607739,139.6047556,0480-85-2015,,,,,
112321,久喜市,福祉,久喜市ファミリー･サポート･センター栗橋,,,埼玉県久喜市中里1048-1（栗橋地域子育て支援センター内）,36.10238169,139.7175141,0480-55-1148,,,,,
112321,久喜市,福祉,久喜市ファミリー･サポート･センター鷲宮,,,埼玉県久喜市鷲宮2-6-19（鷲宮地域子育て支援センター併設）,36.09537706,139.6644089,0480-59-6600,,,,,
112321,久喜市,福祉,久喜地域子育て支援センター　（ぽかぽか）,,,埼玉県久喜市吉羽692-1（ひまわり保育園内）,36.05581367,139.6890936,0480-21-8596,,,,,
112321,久喜市,福祉,栗橋地域子育て支援センター　（くぷる）,,,埼玉県久喜市中里1048-1（栗橋コミュニティセンター内）,36.10238169,139.7175141,0480-55-1147,,,,,
112321,久喜市,福祉,鷲宮地域子育て支援センター　（すまいる）,,,埼玉県久喜市鷲宮2-6-19（久喜市ファミリー・サポート・センター鷲宮併設）,36.09537706,139.6644089,0480-59-7510,,,,,
112321,久喜市,福祉,久喜市つどいの広場　（きらきら）,,,埼玉県久喜市本町2-5-1（久喜小学校放課後児童クラブ施設）,36.06464053,139.6727861,0480-21-8324,,,,,
112321,久喜市,福祉,子育て支援センター　（ほほえみ）,,,埼玉県久喜市吉羽2170-2,36.06010614,139.700587,0480-31-6057,,,,,
112321,久喜市,福祉,子育て支援センター　（リトルエンゼル）,,,埼玉県久喜市青葉3-7,36.06766211,139.7006887,0480-22-3327,,,,,
112321,久喜市,福祉,子育て支援センター　（あけぼのランド）,,,埼玉県久喜市久喜東1-16-12,36.05961281,139.6831971,0480-21-1011,,,,,
112321,久喜市,福祉,子育て支援センター　（ヤマボウシ）,,,埼玉県久喜市本町1-2-60,36.06961294,139.6718498,0480-25-5750,,,,,
112321,久喜市,福祉,子育て支援センター　（いちご広場）,,,埼玉県久喜市菖蒲町小林2848-1,36.05868878,139.5791435,0480-85-5834,,,,,
112321,久喜市,福祉,子育て支援センター　（ぽぴーるーむ）,,,埼玉県久喜市菖蒲町菖蒲410-4,36.06690239,139.6077652,080-7699-1979,,,,,
112321,久喜市,福祉,子育て支援センター　（ばんびるーむ）,,,埼玉県久喜市佐間1145,36.11844636,139.6977881,0480-52-5988,,,,,
112321,久喜市,福祉,子育て支援センター　（森のひろば）,,,埼玉県久喜市伊坂135,36.13098236,139.6918556,0480-52-4344,,,,,
112321,久喜市,福祉,子育て支援センター　（くりぽん）,,,埼玉県久喜市小右衛門1295-1,36.11482614,139.7135708,0480-52-0074,,,,,
112321,久喜市,福祉,子育て支援センター　（わしの子）,,,埼玉県久喜市上内1446-1,36.08736139,139.6635449,0480-58-1510,,,,,
112321,久喜市,福祉,子育て支援センター　（カシオペア）,,,埼玉県久喜市西大輪272-3,36.09285964,139.6809083,0480-59-6793,,,,,
112321,久喜市,福祉,子育て支援センター　（ままとも）,,,埼玉県久喜市桜田1-4-3,36.09127264,139.6799898,0480-59-1122,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,さくら保育園,,,埼玉県久喜市所久喜1130,36.07038719,139.640313,0480-21-0787,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,すみれ保育園,,,埼玉県久喜市北青柳1331,36.04785067,139.6663926,0480-21-0120,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,ひまわり保育園,,,埼玉県久喜市吉羽692-1,36.05581367,139.6890936,0480-22-8246,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,あおば保育園,,,埼玉県久喜市青葉2-9-4,36.06807025,139.696904,0480-22-2566,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,中央保育園,,,埼玉県久喜市久喜中央1-9-1-100,36.06601058,139.6799575,0480-23-6030,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,中央保育園分園,,,埼玉県久喜市下早見85-15（中央幼稚園内）,36.05867256,139.671157,0480-21-7870,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,はるみ保育園,,,埼玉県久喜市上早見180-1,36.06653989,139.6584008,0480-21-0275,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,たから保育園,,,埼玉県久喜市吉羽2170-2,36.06010614,139.700587,0480-23-2233,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,おひさま保育園,,,埼玉県久喜市古久喜689-1,36.07491883,139.6782338,0480-31-8445,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,久喜きららの杜保育園,,,埼玉県久喜市栗原3-17-1,36.07170078,139.7059501,0480-37-7882,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,あやめ保育園,,,埼玉県久喜市菖蒲町三箇181-1,36.05708217,139.6110389,0480-85-1505,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,おばやし保育園,,,埼玉県久喜市菖蒲町小林2848-1,36.05868878,139.5791435,0480-31-9880,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,栗橋保育園,,,埼玉県久喜市小右衛門1295-1,36.11482614,139.7135708,0480-52-0074,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,栗橋保育園分園,,,埼玉県久喜市栗橋中央2-14-16,36.13509269,139.7061948,0480-52-0074（代表）,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,おおしか保育園,,,埼玉県久喜市佐間1145,36.11844636,139.6977881,0480-52-5988,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,なずなの森保育園,,,埼玉県久喜市栗橋東2-16-13-2,36.12936461,139.7012873,0480-52-5047,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,南栗橋保育園,,,埼玉県久喜市南栗橋8-1-3,36.11095347,139.7065336,0480-48-7100,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,鷲宮保育園,,,埼玉県久喜市上内1446-1,36.08736139,139.6635449,0480-58-1510,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,鷲宮第二保育園,,,埼玉県久喜市上内1905-1,36.08372217,139.659121,0480-59-0095,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,鷲宮第二保育園分園,,,埼玉県久喜市鷲宮2-13-14,36.09773175,139.6637859,0480-59-0095（代表）,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,鷲宮桜が丘保育園,,,埼玉県久喜市久本寺548-2,36.0771185,139.6589757,0480-58-3003,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,JR東鷲宮駅前東鷲宮保育園,,,埼玉県久喜市久喜市桜田1-4-3,36.0880985,139.6832329,0480-59-1122,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,幼保連携型認定こども園　久喜みなみこども園,,,埼玉県久喜市下早見481-2,36.05500678,139.6743354,0480-23-2828,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,そらにとどくき認定こども園　ののの,,,埼玉県久喜市本町1-2-60,36.06660619,139.675522,0480-25-5750,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,幼保連携型認定こども園　あけぼの幼稚園（保育部・教育部）,,,埼玉県久喜市青葉3-7,36.06766211,139.7006887,0480-22-3327（代表）,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,幼保連携型認定こども園　あけぼの東幼稚園（保育部・教育部）,,,埼玉県久喜市久喜東1-16-12,36.05961281,139.6831971,0480-21-1011（代表）,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,幼稚園型認定こども園　久喜あおば幼稚園,,,埼玉県久喜市青毛4-11-5,36.07659642,139.7054811,0480-23-1660,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,幼保連携型認定こども園　菖蒲幼稚園,,,埼玉県久喜市菖蒲町菖蒲410-4,36.06372744,139.6110012,0480-85-4151,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,幼稚園型認定こども園　長龍寺幼稚園,,,埼玉県久喜市菖蒲町三箇992,36.05706633,139.6185053,0480-85-1002,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,幼保連携型認定こども園こどもむら　さくらのもり,,,埼玉県久喜市伊坂135,36.13098236,139.6918556,0480-52-0004,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,幼稚園型認定こども園こどもむら　栗橋さくら幼稚園,,,埼玉県久喜市伊坂46,36.13032353,139.6909939,0480-52-5871,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,幼保連携型認定こども園　さくらだこども園（保育部）,,,埼玉県久喜市西大輪1-12-6,36.09172022,139.6805162,0480-58-9895,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,幼保連携型認定こども園　さくらだこども園（教育部）,,,埼玉県久喜市西大輪1-17-2,36.09138394,139.6804603,0480-58-1003,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,幼稚園型認定こども園　鷲宮幼稚園,,,埼玉県久喜市鷲宮3-6-2,36.09846403,139.6643634,0480-58-0075,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,たんぽぽ保育園,,,埼玉県久喜市久喜中央1-1-20クッキープラザ５階,36.06335617,139.6803186,0480-21-8825,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,ゆり保育園,,,埼玉県久喜市青毛2-4-15,36.07082206,139.7040228,0480-23-5098,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,パンダ保育園,,,埼玉県久喜市本町3-1-18,36.06283844,139.6732726,0480-31-9845,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,ひだまり保育園,,,埼玉県久喜市古久喜211-1,36.07205778,139.6818178,0480-31-8445,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,らぁむ保育園久喜園,,,埼玉県久喜市久喜東2-21-12,36.06204811,139.6862118,0480-48-5514,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,きりん保育園,,,埼玉県久喜市久喜北1-1-25,36.07113814,139.6775109,0480-37-7897,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,すずらん保育園,,,埼玉県久喜市本町5-5-15,36.06923955,139.6645192,0480-37-8200,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,きららの杜久喜小規模保育園,,,埼玉県久喜市栗原1-5-4,36.07060311,139.7055696,0480-37-8144,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,こじか保育園,,,埼玉県久喜市高柳2289-1,36.11568286,139.6810684,0480-44-8880,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,こどもむら駅前保育園　さくらのはな,,,埼玉県久喜市伊坂29-6（41街区5）,36.13597889,139.6943897,0480-53-7046,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,こどもむら駅前保育園　さくらいろ,,,埼玉県久喜市伊坂373,36.13597889,139.6943897,0480-52-5871,,,,,
112321,久喜市,保育所・認定こども園・地域型保育施設（公立・私立）,しおどめ保育園久喜,,,埼玉県久喜市葛梅1-13-9,36.09321797,139.6528683,0480-57-1222,,,,,
