団体コード,団体名,観光地_名称,観光地_紹介文,観光地_住所,観光地_緯度,観光地_経度,観光地_種別,観光地_収容人数［総定員］人数,観光地_利用可能時間情報,観光地_休業情報,開始時間,終了時間,日時備考,観光地_自由記述欄,観光地_連絡先,観光地_電話番号,観光地_メールアドレス,観光地_URL,観光地_画像,観光地_画像_ライセンス,観光地_画像_画像テキスト
112321,久喜市,労働会館（あやめ会館）,レンタサイクルが無料で借りられる公共施設。菖蒲地区観光の拠点に。借りる際は、本人確認できるものが必要。,埼玉県久喜市菖蒲町菖蒲193-1,36.065797,139.6015138,アウトドア・スポーツ,,8時30分から16時,"土曜・日曜・祝日
",9:00,15:00,,ことりっぷ久喜掲載,,0480-85-1055,,,,,
112321,久喜市,しらさぎ公園,園内の丘では約1000株のラベンダーが楽しめる。花の鮮やかな色彩や香りで癒される。写真をとる方も多く訪れるスポット。,埼玉県久喜市菖蒲町菖蒲10,36.0649527,139.6028636,花、自然・景観、公園・緑地,,見学自由,,,,,ことりっぷ久喜掲載,久喜市観光協会,0480-21-8632,,,,,
112321,久喜市,菖蒲城址趾あやめ園,50品種約16000株の花しょうぶが一面に咲き誇る姿は必見。木道を歩きながら、散策できるのも魅力的。5月から6月の開花時期には、沢山の人が集まる。開花状況は久喜市ホームページで確認を。,埼玉県久喜市菖蒲町新堀1010,36.0669578,139.5962199,花、自然・景観,,見学自由,,,,,ことりっぷ久喜掲載,久喜市観光協会,0480-21-8632,,,,,
112321,久喜市,鷲宮神社,関東最古といわれる大社で、古くから源頼朝や徳川家康など、関東の武士に崇敬されてきた由緒ある神社。神社に伝わる「土師一流催馬楽神楽」は関東神楽の源流と称され、国の重要無形民族文化財に指定されている。,埼玉県久喜市鷲宮1-6-1,36.0997121,139.6552231,神社・仏閣,,境内自由,,,,,ことりっぷ久喜掲載,,0480-58-0434,,,,,
112321,久喜市,百観音温泉,県内で唯一、自噴する温泉施設。湯量が豊富で、美肌効果も期待できる。駅からのアクセスも抜群。,埼玉県久喜市西大輪2-19-1,36.0914971,139.6769581,入浴施設,,8時00分から23時00分,第3火曜（祝日の場合は翌日休）,8:00,23:00,,ことりっぷ久喜掲載,,0480-59-4126,,http://www.100kannon.com/,,,
112321,久喜市,中島敦ゆかりの地記念碑,『山月記』、『光と風と夢』、『李陵』などの作者である中島敦が２歳から６歳まで過ごした場所です。,埼玉県久喜市久喜中央2丁目6?26,36.064008,139.674128,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112321,久喜市,中島撫山の墓,明治6年（1873）に私塾「幸魂教舎」を開くなど、埼玉東部地域の教育に大きく貢献した幕末から明治期の教育者である中島撫山の墓。,埼玉県久喜市本町1丁目9番56号,36.071445,139.669757,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112321,久喜市,菖蒲城趾あやめ園,毎年６月頃に、様々な種類のあやめが開花します。,埼玉県久喜市菖蒲町新堀1010 ,36.061828,139.594263,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112321,久喜市,神明神社の社叢,"1.74ヘクタールの面積があり、約500メートルの参道林と境内林からなっています。現在はアカシデを主体とした不安定な状態ですが、潜在的にはヒサカキ・サカキを主体とするシラカシ群の自然植生とみることができます。埼玉県東部低地には、潜在自然植生を良く示す広域的な林は少なく、貴重な存在です。
県指定天然記念物",埼玉県久喜市菖蒲町上栢間3366,36.045838,139.575576,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112321,久喜市,天王山塚,"全長100メートルを超える大型の前方後円墳で、元荒川左岸の栢間の台地上に分布する栢間古墳群の中心をなす古墳です。前方部の高さ約9メートル、後円部の高さは約10メートル、前方部幅約62メートル、後円部径約55メートルを測り、主軸はほぼ東西をさしています。
この古墳は、石室に使われたとみられる角閃石安山岩という石があることから、古墳時代後期（6世紀終わり頃）に造られた大豪族の墓といわれています。",埼玉県久喜市菖蒲町上栢間3284-1,36.039243,139.574817,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112321,久喜市,本多静六記念館,日本で最初の林学博士である本多静六の記念館です。ここでは、博士の直筆の資料や遺品などの貴重な資料をはじめ、公園の模型や写真、博士が手がけた全国各地の公園や観光地のポスターを展示しています。,埼玉県久喜市菖蒲町新堀38番地,36.059529,139.601331,,-,-,"土曜日・祝日（日曜日の場合は開館し、翌日休館）
年末年始（12月29日～1月3日）",9:00,17:00,-,菖蒲総合支所5階,-,0480-85-1111（菖蒲総合支所代表）,-,http://www.city.kuki.lg.jp/miryoku/rekishi_bunkazai/honda_00/honda_05.html,-,-,-
