ID,観光地名,ふりがな,地域ブロック,市町村,住所１（地番まで),住所２（マンション名等）,緯度,経度,説明,電話番号,ファックス,公共交通,車,駐車場,営業時間,定休日,料金,ユニバーサル対応トイレ,ユニバーサル対応駐車場,ユニバーサル対応その他,備考,ホームページURL,テーマ,カテゴリ,サブカテゴリ,分類キーワード
2,国営武蔵丘陵森林公園,こくえいむさしきゅうりょうしんりんこうえん,西部地域,滑川町,山田1920,,36.07869046,139.3665934,明治百年を記念して造られた国営公園です。武蔵野の面影が残る緑豊かな自然の中で、サイクリングや散策、自然観察など、ご家族で一日ゆっくり過ごせます。四季を通して紅葉や桜、サルビアなど様々な花が咲き誇り、花の公園としても有名です。また、サイクリングセンターも併設されており、自転車での園内を散策が出来ます。,0493-57-2111,0493-56-4913,東武東上線「森林公園駅」下車　森林公園南口行きバス終点より徒歩約７分,関越自動車道「東松山」ＩＣから熊谷方面へ約１０分,あり（１９台）,"・３月１日～１０月３１日　９：３０～１７：００
・１１月１日～１１月３０日：９：３０～１６：３０
・１２月１日～２月末日：９：３０～１６：００","・年末年始（１２／３１、１／１）
・１月第３・第４月曜日","＜入園料＞
大人４００円/小人８０円
＜レンタサイクル（３時間料金）＞
大人４００円/小人２５０円",あり（３０か所）,あり（１９台）,"盲導犬受け入れ：可
車椅子専用スロープ：有（所々なし）","※花の見頃

梅（１２０種６００本）/１月中旬～３月下旬
桜（ソメイヨシノ）/３月下旬～４月上旬
カエデ（２０種５００本）/１１月中旬～下旬
チューリップ（５種２５００本）/冬季",http://www.shinrin-koen.go.jp/index.html,遊・体,公園・緑地,緑地,自然公園 湖沼 花 公園・緑地 プール サイクリングコース 遊歩道 フィールドアスレチックコース バードウォッチング
3,稲荷山公園,いなりやまこうえん,西部地域,狭山市,稲荷山１丁目,,35.84674348,139.3966985,昭和２０年から米軍が「ジョンソン飛行場」として使用していた跡地の一部を利用した県営公園。園内には狭山の歴史を紹介する博物館もあり、季節ごとの企画展や体験学習などのイベントが楽しめます。また、春には桜・つつじなどが広がり、大勢の観光客で賑わいます。,04-2953-5111,04-2954-7716,西武池袋線「稲荷山公園駅」　徒歩約１分,首都圏中央連絡自動車道「狭山日高」ＩＣより約３ｋｍ,あり（４台）,常時開放,無休,無料,あり（４か所）,あり（４台）,,"※花の見頃
桜/３月下旬～４月上旬
つつじ/４月中旬～５月上旬",http://www.city.sayama.saitama.jp/park/shokai/hidepark/hidepark.htm,遊・体,公園・緑地,公園,公園・緑地 花
4,所沢航空記念公園,ところざわこうくうきねんこうえん,西部地域,所沢市,並木一丁目１３番地,,35.798822,139.471232,基地跡地の南東部にあり、広さは約５０ヘクタールの公園です。緑を生かした園内には、池、人工の滝、日本庭園、広場、茶室「彩翔亭」、野外ステージ、テニスコート、野球場、運動場などの施設のほか、「所沢航空発祥記念館」もあり、地元市民や多くの観光客で賑わっています。,04-2998-4388,04-2995-4278,西武新宿線「航空公園駅」下車　徒歩すぐ,関越自動車道「所沢」ＩＣより国道４６３号を所沢市街方面へ約６ｋｍ,,"午前８時３０分～午後５時１５分
※施設により利用時間が異なりまので、詳しくは管理事務所にお問い合わせください。",毎週月曜日（休日のときは翌日）、12/31、1/1,入園無料有料施設については、公式ＨＰをご覧ください。,あり,,盲導犬受け入れ：可（一部利用不可）,"※テニスコート、運動場を利用するためには事前に利用者登録が必要です。
所沢航空記念公園管理事務所へお問い合わせ下さい。",http://www.parks.or.jp/koen_main/tokorozawa-kokuu.html,遊・体,公園・緑地,公園,博物館 公園・緑地
5,彩の森入間公園,さいのもりいるまこうえん,西部地域,入間市,向陽台2丁目地内,,35.8379072,139.3984795,都市化が進む入間市の市街地に隣接した緑豊かな公園で、定期的に教室やフリーマーケットが行われています。園内にはキバナコスモスやノウゼンカズラ、チューリップなど季節ごとに様々な花が公園を彩っています。秋には紅葉も一面に広がります。,04-2960-1664（彩の森入間公園）,04-2960-1668（彩の森入間公園）,西武池袋線「入間市駅」　徒歩約１５分,"首都圏中央連絡道路「入間」ＩＣより約２０分
",あり（５台）,常時開放,なし,無料,あり（４か所）,あり（５台）,,,http://www.sainomori.com/index.htm,遊・体,公園・緑地,公園,公園・緑地
6,大宮公園,おおみやこうえん,中央地域,さいたま市,大宮区高鼻町4,,35.9171078,139.6319952,明治１８年、埼玉県最初の県営公園として誕生しました。園内には、樹齢百年を超える赤松がそびえる赤松林や、名物の１２００本もの桜をはじめ、新緑や紅葉が美しい樹木が林立しています。また、公式野球場、双輪場（兼陸上競技場）、サッカー場、プール（競泳用）、体育館、弓道場、小動物園、児童遊園地なども併設されています。,048-641-6391,048-641-2656,"・東武野田線「大宮公園駅」下車　徒歩約１０分 
・ＪＲ「大宮駅」東口下車　徒歩約２０分 ",首都高速埼玉大宮線「与野」ＪＣＴより約１５分,あり（２５台）,"＜小動物園・児童遊園地＞
１０時～１６時
※その他施設により営業時間が異なりますのでお問い合わせ下さい。","＜小動物園・児童遊園地＞
・月曜日（祝日の場合は翌日）
・年末年始
※その他施設により定休日が異なりますのでお問い合わせ下さい。","＜小動物園・児童遊園地＞
無料",あり（１５か所）,あり（２５台）,,"※花の見頃
桜（１２００本）/３月下旬～４月上旬頃",http://www.pref.saitama.lg.jp/page/910-20091204-92.html,遊・体,公園・緑地,公園,湖沼 花 博物館 公園・緑地
10,彩湖・道満グリーンパーク,さいこ・どうまんぐりーんぱーく,中央地域,戸田市,大字重瀬745,,35.825075,139.624474,荒川を横切るおしゃれな斜張橋が幸魂大橋です。夜にはライトアップされ、その美しさで東京外郭環状道路のシンボルにもなっています。この橋のまわりには、調節池『彩湖』や総合公園『彩湖・道満グリーンパーク』が広がっており、レンタサイクルなどの貸し出しも行っています。また、特別天然記念物として保護されている「サクラソウ」の自生地としても知られています。,048-449-1550,048-449-1551,"・ＪＲ「武蔵浦和駅」下車　国際観光バス「下笹目」行き「彩湖・道満グリーンパーク入口」より徒歩約２分
",東京外環自動車道「戸田東」ＩＣより約１０分,,"＜４/１～１０/３１＞７：３０～１８：３０
＜１１/１～３/３１＞７：３０～１７：３０",無休,"無料 ※ドッグラン・スポーツ施設・釣り場は有料です。
",あり,,盲導犬受け入れ,"※花の見頃
サクラソウ/３月下旬～５月上旬",http://www.toda-greenpark.or.jp/park/doman/index.html,遊・体,公園・緑地,公園,湖沼 建造物 公園・緑地 自然科学 バーベキュー 花
11,羽生水郷公園,はにゅうすいごうこうえん,東部地域,羽生市,三田ヶ谷751-1,,36.17176335,139.5990229,羽生市水郷公園には、食虫植物・ムジナモの自生地として知られる宝蔵寺沼があります。菖蒲田、修景池など水を取り入れた施設を中心に整備され、さらに園内にはさいたま水族館が併設され、多くの観光客で賑わっています。,048-565-1010,048-565-2768,東武伊勢崎線「加須駅」か「羽生駅」下車　タクシー利用で約１５分,東北自動車道「羽生」ＩＣより栗橋方面へ３ｋｍ,あり（１６台）,常時開放,なし,無料,あり（５か所）,あり（１６台）,,,http://www.parks.or.jp/suizokukan/park.html,遊・体,公園・緑地,公園,自然公園 湖沼 動物園・水族館 公園・緑地
12,秩父ミューズパーク,ちちぶみゅーずぱーく,秩父地域,秩父市,田村1377ほか,,35.99175764,139.0494919,秩父の緑豊かな大自然を生かして造られた都市公園です。長尾根丘陵にあり、クラシックやジャズなどさまざまな演奏会が楽しめる野外ステージや音楽堂などがあるほか、スポーツの森には、プール、コテージなどが整備されています。また、梅園もあり季節になると一斉に花を咲かせます。,0494-25-1315（秩父ミューズパーク管理事務所）,0494-21-1039（秩父ミューズパーク管理事務所）,西武秩父線「西武秩父駅」下車　ミューズパーク循環バスぐるりん号乗車、バス停「音楽寺」よりすぐ,関越自動車道「花園」ＩＣより約５０分,,９：００～１７：００,各施設ごとに異なりますので、詳細はお問い合わせ下さい。,各施設ごとに異なりますので、詳細はお問い合わせ下さい。,,,,,http://www.muse-park.com/,遊・体,公園・緑地,公園,花 公園・緑地 テニス プール サイクリングコース
13,吉川公園,よしかわこうえん,東部地域,吉川市,下内川、八子新田ほか,,35.925355,139.8613576,江戸川の河川敷に軟式野球場が４面と多目的スポーツ広場（サッカー場２面として使用可能）や、芝の広がる憩いの広場などがあります。家族でのレクリエーションのほか、スポーツ、イベントなどの開催にも対応できる公園として、玉葉橋上流の野球場や、憩いの広場、多目的広場などが整備されています。,048-982-6800（吉川市役所総合体育館）,,ＪＲ武蔵野線「吉川駅」下車　約７０分,ＪＲ武蔵野線「吉川駅」より約１５分,,８：３０～１７：００,"・毎月第３月曜日
・１２/２９～翌１/３","＜午前８時３０分から午後５時＞ 
?学生/県内１，７７０円、県外２，６５０円
?大人/県内３，５４０円、県外５，３１０円",,,,,"http://www.city.yoshikawa.saitama.jp/12,949,21,357.html",遊・体,公園・緑地,公園,公園・緑地
14,久喜菖蒲公園,くきしょうぶこうえん,東部地域,久喜市,河原井町70,,36.055913,139.6473815,久喜菖蒲公園は、工業団地を造成するために掘ってできた池を中心に整備されたユニークな公園です。池の広さが約３１ヘクタールもあり、全体の約８０％を占めています。池の東西には広場があるほか、周りには、桜並木とサイクリング道路が整備されており、ご家族でお楽しみ頂けます。,0480-23-1366,0480-22-5980,ＪＲ宇都宮線「白岡駅」下車　菖蒲仲橋行きバス除堀（よけほり）より徒歩約１５分,東北自動車道「久喜」ＩＣより約１０分,あり（２台）,"＜開園時間＞
・魚つり７：００～１６：００
・ボート１０：００～１７：００
・貸自転車１０：００～１７：００

※時期により変動あり","・毎週月曜日（休日の場合は翌日）
・１２/３１、１/１　

※時期により月曜日も開園しますので、詳しくはお問い合わせください。","＜主な料金＞
・魚つり１日９９０円
・ボート（ローボート）３０分３４０円
・貸自転車 １時間２００円",あり（６か所）,あり（２台）,,,http://www.nem-shiteikanri.jp/shisetsu/kuki/index.html,遊・体,公園・緑地,公園,公園・緑地 サイクリング 釣り 自然公園
